L1|Architecture and control flow|main.js; journey/journey.js; journey/chapter-registry.js; journey/structure.js; journey/chapter-interactions.js; journey/rail.js|Map entry-to-frame and input-to-route control flow. Identify hidden globals, import cycles, broad interfaces, ownership ambiguity, non-local mutation, and boot/fallback boundaries.
L2|UI and accessibility|journey/ui.js; journey/ui/; journey/rail.js; journey/site.css; index.html; static/index.html; ownership/|Audit DOM, ARIA, focus, disclosure, sheet, keyboard, reduced-motion, and no-JS contracts. Find visitor-visible failures and brittle CSS/JS coupling.
L3|State lifecycle and async|journey/state.js; journey/scroll.js; journey/director.js; journey/dial.js; journey/chapter-registry.js; journey/cards/; portrait loading; main.js|Identify every mutable-state owner, listener, timer, RAF, fetch, promise, global, teardown boundary, late settlement, and recreate/isolation risk.
L4|Animation 3D and resources|organism/; journey/lens.js; journey/chapters/; postprocessing and renderer setup|Trace frame order and renderer/resource ownership. Check deterministic RNG/geometry/shader contracts, context loss, cancellation, disposal, late loads, and resize coupling.
L5|Responsive and input|main.js; journey/scroll.js; journey/rail.js; journey/ui.js; sheet/gesture code; chapter cameras; Connect placement|Map breakpoint/input state machines and resize ordering. Audit touch, wheel, keyboard, rail, camera, layout, and screen-to-ground authority for conflicting owners and edge cases.
L6|Performance|frame loops; TAA/pixel-ratio policy; UI projection/layout; media/card warming; asset sizes; chapter preparation|Find measured or instrumentable CPU, GPU, frame, layout, network, and memory risks. Separate facts from hypotheses; identify repeated unbounded work and missing observability.
L7|Maintainability and coherence|all live first-party modules excluding archive vendor generated outputs|Find duplicated policy/data, stale compatibility paths, overbroad facades, misleading contracts/comments, dead or accidental complexity, and recurring awkward patterns. Reject size-only and aesthetic findings.
L8|Tooling build test and deploy|package.json; lint/Madge; tools/; serve.py; build/release/public manifests; capture/bake tooling|Find false greens, missing production roots/scenarios, mutating checks, generated-artifact drift risks, static-deploy hazards, Range semantics bugs, and documentation/executable mismatch.
L9|Recurring failure and security patterns|catch blocks; global handlers; innerHTML; external fetch/media; cache-query imports; storage; event installation|Find repeated unsafe failure handling, trust-boundary mistakes, injection or URL risks, cancellation inconsistency, swallowed failures, and visitor-visible fallback gaps. Require at least three sites before proposing a shared pattern.
L10|Content ownership and static tier|content/; ownership/; static/; schemas generators and public manifest|Audit canonical-data integrity, accessible no-JS parity, ownership ledger/render behavior, structural cardinality hazards, stale generation, broken links/schema assumptions, and missing coverage.
